id,VehicleModel,VehicleBody
1900,Nx 200t,Station Wagon
1901,Nx 200t,SUV
1902,Nx300,SUV
1903,Rc,Coupe
1904,Rc F,Coupe
1905,Rc200t,Coupe
1906,Rc350,Coupe
1907,Rx 300,"Saloon, S/W"
1908,Rx 300,Station Wagon
1909,Rx 300,SUV
1910,Rx 330,Saloon
1911,Rx 330,Station Wagon
1912,Rx 330,SUV
1913,Rx 350,Station Wagon
1914,Rx 350,SUV
1915,Rx 350,Unknown
1916,Rx 450,SUV
1917,Rx330,Station
1918,Rx350,SUV
1919,Rx450h,SUV
1920,Sc 300,Coupe
1921,Sc 430,Coupe
1922,Sc430,Cabriolet
1923,Sc430,Convertible
1924,Se 300,Saloon
1925,Se 300,Sedan
1926,Ux200,SUV
1927,Crane,Crawler Crane
1928,Continental Reserve,Sedan
1929,Mkc,Station Wagon
1930,Mkc,SUV
1931,Mks,Saloon
1932,Mks,Sedan
1933,Mkt,Bus
1934,Mkt,Station
1935,Mkt,SUV
1936,Mk-T,Station Wagon
1937,Mkx,SUV
1938,Mkz,Saloon
1939,Mkz,Sedan
1940,Nautilus,SUV
1941,Navigator,SUV
1942,Navigator  El,SUV
1943,Town Car,Saloon
1944,Town Car,Sedan
1945,Fork Lift,Fork Lift Wheel
1946,Trailer,Cement Tanker
1947,Trailer,Diesel Tanker
1948,Trailer,Tanker
1949,Trailer,Trailer Flat
1950,Trailer,Trailer With Crane
1951,Lg 30dt,Fork Lift
1952,2 Eleven,Coupe
1953,Evora,Coupe
1954,Exige,Coupe
1955,Exige,Coupe/Cabriolet
1956,Exige,Coupe/Convertible
1957,Exige S,Coupe
1958,7,Station Wagon
1959,7,SUV
1960,U6,SUV
1961,U7,Station Wagon
1962,U7,SUV
1963,373-38,Drilling Rig
1964,Concrete Mixer,Concrete Mixer
1965,Concrete Pump,Concrete Pump
1966,T.G.M. 18.240,Truck With Crane
1967,Tga33.440,Soil Testing Lab
1968,Tga33.440,Truck
1969,Tgm18.240,Truck
1970,Tipper Trailer,Tipper Trailer
1971,Tipper Truck,Tipper
1972,Tractor Unit,Tractor
1973,Trailer,Fuel Tanker
1974,Trailer,Mixer
1975,Trailer,Trailer Flat Bed
1976,Trailer,Truck
1977,Trailer Head,Heavy Truck
1978,Trailer Head,Tipper Trailer
1979,Truck,Excavator
1980,Truck,Heavy Truck
1981,Truck,Horse Truck
1982,Truck,Trailer Truck
1983,Tractor Head,Tractor Head
1984,Scorpio,Pick-Up
1985,Xuv 500,SUV
1986,Highbed,Flat Bed Trailer
1987,Tipper,Tipper
1988,Coupe Gt,Coupe
1989,Coupe Gt,Saloon
1990,Coupe Gt,Sedan
1991,Ghibli,Saloon
1992,Ghibli,Sedan
1993,Gran Turismo,Coupe
1994,Gran Turismo,Saloon
1995,Gran Turismo,Sedan
1996,Grancabrio,Convertible
1997,Grancabrio,Coupe
1998,Gransport,Coupe
1999,Levante,SUV
2000,Levante S,SUV
2001,Mc 12,Saloon
2002,Quattroporte,Coupe
2003,Quattroporte,Saloon
2004,Quattroporte,Sedan
2005,Quattroporte S,Saloon
2006,Quattroporte S,Sedan
2007,Quattroporte Sport Gt,Sedan
2008,Spyder,Coupe
2009,Fork Lift,Crusher
2010,G10,Bus
2011,G10,MPV
2012,G10,Van
2013,T60,Pick-Up
2014,V80,Mini Bus
2015,V80,Van
2016,62,Limousine
2017,2,Hatchback
2018,2,Saloon
2019,3,Hatchback
2020,3,Saloon
2021,3,Sedan
2022,3,Unknown
2023,6,Hatchback
2024,6,Saloon
2025,6,Sedan
2026,6,Station Wagon
2027,323,Saloon
2028,323,Sedan
2029,323,Unknown
2030,626,Saloon
2031,626,Sedan
2032,929,Saloon
2033,929,Sedan
2034,3 's',Saloon
2035,3 Sport,Hatchback
2036,323 Glx At,Sedan
2037,3500 T P/Up,Home Gas Pick-Up
2038,3500 T P/Up,Pick-Up
2039,6 's',Saloon
2040,6 's',"Saloon, S/W"
2041,6 Ultra,Sedan
2042,B 2000,Pick-Up
2043,B2200,Pick-Up
2044,B2900,Pick-Up
2045,Bt-50,Pick/Up
2046,Bt-50,Pick-Up Double Cab
2047,Bt50- 2200,Pick-Up
2048,Cx 5,SUV
2049,Cx-3,SUV
2050,Cx5,Station Wagon
2051,Cx-5,Saloon
2052,Cx7,Station
2053,Cx7,SUV
2054,Cx9,Station
2055,Cx9,Station Wagon
2056,Cx9,SUV
2057,Cx9,Unknown
2058,Cx-9,SUV
2059,Cx-9,Unknown
2060,E 2000 S.Cabin P/Up,Coupe
2061,E 2000 S.Cabin P/Up,Pick-Up
2062,E2000,Pick-Up
2063,E2000,Unknown
2064,E2000,Van
2065,E2000 Mini Bus,Bus
2066,E2000 Mini Bus,Coupe
2067,E2000 Mini Bus,Mini Bus
2068,Lantis,Sedan
2069,Mpv,SUV
2070,Mx5,Coupe
2071,Mx-5,Convertible
2072,Mx-5,Coupe
2073,T2600,Pick-Up
2074,T3500,Pick-Up
2075,T3500,Water Tanker (Non Drinkable)
2076,Ultra 2.5,Saloon
2077,Ultra 2.5,Sedan
2078,540c,Coupe
2079,570s,Coupe
2080,650s,Coupe
2081,650s,Coupe/Cabriolet
2082,650s Spider,Coupe
2083,675lt,Coupe
2084,720s,Coupe
2085,Mp4,Coupe
2086,Mp4 12c,Convertible
2087,Mp4 12c,Coupe
2088,Mso,Coupe
2089,P1,Coupe
2090,Senna,Coupe
2091,280,Coupe
2092,404,Bus
2093,450,Saloon
2094,600,Sedan
2095,1628,Trailer
2096,1722,Trailer
2097,1722,Truck
2098,1824,Garbage Truck
2099,1824,Gas Tanker
2100,1838,Trailer
2101,1838,Truck
2102,1840,Trailer
2103,1840,Truck
2104,1843,Trailer
2105,1844,Trailer
2106,1844,Trailer + Head
2107,1844,Truck
2108,1848,Trailer
2109,1850,Trailer
2110,1935,Trailer
2111,2038,Tipper Truck
2112,2038,Trailer
2113,2040,Flat Bed Trailer
2114,2040,Trailer
2115,2040,Truck
2116,2040,Truck Head
2117,2040,Truck Head With Trailer
2118,2044,Truck Head
2119,2534,Refrigerator Truck
2120,2538,Coupe
2121,2538,Tanker
2122,2538,Tipper Truck
2123,2538,Truck
2124,2538,Truck With Crane
2125,2540,Truck
2126,2540,Vaccum Tanker
2127,2544,Truck
2128,2624,Truck With Crane
2129,2635,Coupe
2130,2635,Trailer
2131,2635,Truck
2132,2638,Lopid Trailer
2133,2638,Tanker
2134,2638,Trailer
2135,2638,Unknown
2136,2644,Trailer Flat
2137,4031,Cement Bulker
2138,4031,Tipper Truck
2139,4031,Truck
2140,4140,Concrete Pump
2141,4140,Pump (Putz)
2142,0350 Tourismo,Bus
2143,140 Bus,Bus
2144,280 Se,Saloon
2145,280 Se,Sedan
2146,280 Se,Unknown
2147,280 Sl,Coupe
2148,308 Cdi Sprinter,MPV
2149,308 Cdi Sprinter,Pick-Up
2150,308 Cdi Sprinter,Van
2151,311 Cdi Sprinte,Bus
2152,311 Cdi Sprinte,Pick-Up
2153,380sl,Convertible
2154,380sl,Sedan
2155,4031/45,Tipper Truck
2156,4031/45,Trailer
2157,4031/45,Water Tanker
2158,450 Sl,Coupe/Convertible
2159,450sl,Convertible
2160,500 Sel,Saloon
2161,500 Sel,Sedan
2162,560 Sl,Coupe
2163,560 Sl,Coupe/Cabriolet
2164,560 Sl,Coupe/Convertible
2165,815dka,Pick-Up
2166,A 250,Saloon
2167,A 250,Sedan
2168,A 45,Coupe
2169,A 45 Amg,Coupe
2170,A180,Hatchback
2171,A250,Hatchback
2172,A45,Hatchback
2173,A45,Sedan
2174,Amg Gt,Coupe
2175,Amg Gt,Coupe/Cabriolet
2176,Atego,Fire Truck
2177,B 150,Saloon
2178,B 170,Sedan
2179,B 200,Saloon
2180,B 200,Sedan
2181,B 200 Turbo,Sedan
2182,B150,Hatchback
2183,B150,Sedan
2184,B160,Hatchback
2185,B170,Hatchback
2186,B200,Hatchback
2187,Benz 1835,Trailer
2188,Benz 3235,Garbage Truck
2189,Benz Actros,Concrete Pump
2190,Benz Actros,Truck
2191,C 160 K,Coupe
2192,C 160 K,Sedan
2193,C 180,Saloon
2194,C 180,Sedan
2195,C 180 Coupe,Coupe
2196,C 200,Sedan
2197,C 200 K,Coupe
2198,C 200 K,Saloon
2199,C 200 K,Sedan
2200,C 220,Saloon
2201,C 230,Saloon
2202,C 230,Sedan
2203,C 240,Saloon
2204,C 240,Sedan
2205,C 240,Unknown
2206,C 250,Coupe
2207,C 250,Saloon
2208,C 250,Sedan
2209,C 280,Saloon
2210,C 280,Sedan
2211,C 300,Saloon
2212,C 300,Sedan
2213,C 320,Sedan
2214,C 350,Coupe
2215,C 350,Saloon
2216,C 350,Sedan
2217,C 63,Coupe
2218,C 63,Saloon
2219,C 63,Sedan
2220,C 63 Amg,Saloon
2221,C160 K,Hatchback
2222,C180 K,Hatchback
2223,C180 K,Saloon
2224,C180 K,Sedan
2225,C200,Coupe
2226,C200,Saloon
2227,C200,Sedan
2228,C200,Unknown
2229,C200 K,Hatchback
2230,C230,Sedan
2231,C230 K,Sedan
2232,C250,Unknown
2233,C300,Cabriolet
2234,C300,Convertible
2235,C300,Coupe
2236,C350,Coupe
2237,C43 Amg,Cabriolet
2238,C43 Amg,Coupe
2239,C43 Amg,Sedan
2240,C450 Amg,Sedan
2241,C63 Amg,Coupe
2242,C63 Amg,Sedan
2243,Cdi  616,Station Wagon
2244,Cdi Sprinter,MPV
2245,Cdi Sprinter,Van
2246,Ce 300,Coupe
2247,Ce 300,Sedan
2248,Ce 300,Unknown
2249,Cement Mixer,Cement Mixer
2250,Cement Mixer,Concrete Mixer
2251,Cement Tanker,Cement Tanker
2252,Cl 500,Coupe
2253,Cl 500,Saloon
2254,Cl 500,Sedan
2255,Cl 500,Unknown
2256,Cl 55,Coupe
2257,Cl 550,Coupe
2258,Cl 550,Saloon
2259,Cl 600,Unknown
2260,Cl 63,Coupe
2261,Cl 63,Saloon
2262,Cl 65,Coupe
2263,Cl 65,Saloon
2264,Cl55 Amg,Coupe
2265,Cl600,Coupe
2266,Cl600,Unknown
2267,Cl63 Amg,Coupe
2268,Cl65 Amg,Coupe
2269,Cla 200,Saloon
2270,Cla 250,Coupe
2271,Cla 250,Saloon
2272,Cla 250,Sedan
2273,Cla 45,Sedan
2274,Cla45 Amg,Sedan
2275,Clc 180,Coupe
2276,Clc 200,Coupe
2277,Clc 200,Saloon
2278,Clc 230,Coupe
2279,Clc180k,Hatchback
2280,Clc200k,Coupe
2281,Clc200k,Hatchback
2282,Clc230 K,Coupe
2283,Clc230 K,Hatchback
2284,Clc250,Hatchback
2285,Clk,Coupe
2286,Clk 200,Coupe
2287,Clk 230,Coupe
2288,Clk 240,Coupe
2289,Clk 280,Coupe
2290,Clk 320,Coupe
2291,Clk 320,Saloon
2292,Clk 350,Coupe
2293,Clk 500,Coupe
2294,Clk 55,Coupe
2295,Clk200 K,Convertible
2296,Clk200 K,Coupe
2297,Clk230 K,Convertible
2298,Clk280,Convertible
2299,Clk320,Convertible
2300,Clk320 Cdi,Coupe
2301,Clk350,Convertible
2302,Clk500,Convertible
2303,Clk55 Amg,Coupe
2304,Clk63 Amg,Coupe
2305,Cls 280,Saloon
2306,Cls 350,Coupe
2307,Cls 350,Saloon
2308,Cls 350,Sedan
2309,Cls 500,Sedan
2310,Cls 500,Unknown
2311,Cls 55,Coupe
2312,Cls 550,Sedan
2313,Cls 63,Sedan
2314,Cls 63 Amg,Coupe
2315,Cls 63 Amg,Saloon
2316,Cls280,Sedan
2317,Cls300,Sedan
2318,Cls400,Coupe
2319,Cls400,Sedan
2320,Cls500,Saloon
2321,Cls500,Sedan
2322,Cls53 Amg,Coupe
2323,Cls55 Amg,Sedan
2324,Cls63 Amg,Sedan
2325,Concrete Mixer,Cement Mixer
2326,Concrete Mixer,Mixer
2327,Concrete Pump,Pump
2328,Concrete Pump,Pump Mixer
2329,Concrete Pump,Schewing Pump
2330,Diesel Tanker,Tanker
2331,Diesel Tanker,Truck
2332,Drinage Tanker,Tanker
2333,E 190,Saloon
2334,E 190,Sedan
2335,E 190,Unknown
2336,E 200,Coupe
2337,E 200,Saloon
2338,E 200,Sedan
2339,E 220,Coupe
2340,E 220,Saloon
2341,E 230,Saloon
2342,E 230,Sedan
2343,E 230,Unknown
2344,E 240,Saloon
2345,E 240,Sedan
2346,E 240,Unknown
2347,E 250,Coupe
2348,E 250,Saloon
2349,E 250,Sedan
2350,E 250 Coupe,Coupe
2351,E 280,Saloon
2352,E 280,Sedan
2353,E 280,Unknown
2354,E 300,Saloon
2355,E 300,Sedan
2356,E 300 Coupe,Coupe
2357,E 320,Saloon
2358,E 320,Sedan
2359,E 320 Coupe,Coupe
2360,E 350,Saloon
2361,E 350,Sedan
2362,E 350,Unknown
2363,E 350 Coupe,Coupe
2364,E 400,Sedan
2365,E 420,Saloon
2366,E 420,Sedan
2367,E 420,Unknown
2368,E 430,Sedan
2369,E 50,Saloon
2370,E 50,Sedan
2371,E 500,Saloon
2372,E 500,Sedan
2373,E 500,Unknown
2374,E 500 Coupe,Coupe
2375,E 55,Saloon
2376,E 55,Sedan
2377,E 55,Unknown
2378,E 63,Coupe
2379,E 63,Sedan
2380,E200,Cabriolet
2381,E200,Convertible
2382,E200 Cgi Coupe,Coupe
2383,E250,Cabriolet
2384,E250,Coupe
2385,E280,Unknown
2386,E300,Cabriolet
2387,E300,Convertible
2388,E300,Coupe
2389,E300,Saloon
2390,E320,Convertible
2391,E320,Coupe
2392,E320,Limousine
2393,E320,Unknown
2394,E350,Convertible
2395,E350,Coupe
2396,E350,Limousine
2397,E350,Unknown
2398,E350 Cabriolet,Coupe
2399,E400,Convertible
2400,E400,Coupe
2401,E400,Unknown
2402,E400 Cabriolet,Coupe
2403,E43 Amg,Sedan
2404,E500,Coupe
2405,E55 Amg,Sedan
2406,E550,Coupe
2407,E63 Amg,Saloon
2408,E63 Amg,Sedan
2409,Flat Bed Truck,Truck
2410,Flour Tanker,Tanker
2411,G 320,SUV
2412,G 500,Station Wagon
2413,G 500,SUV
2414,G 500,Unknown
2415,G 500 Lwb,SUV
2416,G 500 Swb,SUV
2417,G 55,Station
2418,G 55,SUV
2419,G 63,Station Wagon
2420,G 63,SUV
2421,G 65,Station
2422,G 65,SUV
2423,G350,SUV
2424,G500,SUV
2425,G55 Amg,Station
2426,G55 Amg,SUV
2427,G63 Amg,Station Wagon
2428,G63 Amg,SUV
2429,G65 Amg,SUV
2430,Gl 400,Station Wagon
2431,Gl 400,SUV
2432,Gl 450,Unknown
2433,Gl 500,Station
2434,Gl 500,Station Wagon
2435,Gl 500,SUV
2436,Gl 500,Unknown
2437,Gl 550,SUV
2438,Gl450,SUV
2439,Gl500,SUV
2440,Gl63,Station
2441,Gl63,SUV
2442,Gl63 Amg,SUV
2443,Gla 250,Sedan
2444,Gla 250,SUV
2445,Gla 45,SUV
2446,Gla220,SUV
2447,Gla250,Saloon
2448,Gla45 Amg,SUV
2449,Glc 43 Amg,SUV Coupe
2450,Glc250,SUV
2451,Glc300,SUV
2452,Gle 400,Station Wagon
2453,Gle 400,SUV
2454,Gle 450,SUV
2455,Gle 63 Amg,SUV
2456,Gle43 Amg,SUV
2457,Gle43 Amg,SUV Coupe
2458,Gle450,SUV Coupe
2459,Gle500,SUV
2460,Gle63 Amg,SUV Coupe
2461,Glk,SUV
2462,Glk 250,Station Wagon
2463,Glk 250,SUV
2464,Glk 250,Unknown
2465,Glk 280,Station Wagon
2466,Glk 280,SUV
2467,Glk 280,Unknown
2468,Glk 300,SUV
2469,Glk 350,Station Wagon
2470,Glk 350,SUV
2471,Glk300,Station Wagon
2472,Gls500,SUV
2473,Gls63 Amg,SUV
2474,Gt S,Coupe
2475,Head Trailer,Trailer Head
2476,M/Bus Mcv200,Bus
2477,Maybach,Saloon
2478,Maybach,Sedan
2479,Mb 114,Ambulance
2480,Mb 114,Pick-Up
2481,Mcv Bus,Bus
2482,Mercedes,Station Wagon
2483,Mixer,Mixer
2484,Ml 320,Station
2485,Ml 320,Station Wagon
2486,Ml 320,SUV
2487,Ml 320,Unknown
2488,Ml 350,Unknown
2489,Ml 400,SUV
2490,Ml 55,SUV
2491,Ml 63,Saloon
2492,Ml 63,Station Wagon
2493,Ml 63,SUV
2494,Ml320 Cdi,SUV
2495,Ml350,SUV
2496,Ml400,Station Wagon
2497,Ml430,SUV
2498,Ml500,SUV
2499,Ml63 Amg,SUV
2500,Pump (Putz),Pump (Putz)
2501,R 280,Station
2502,R 280,SUV
2503,R 300,Station
2504,R 300,Station Wagon
2505,R 300,SUV
2506,R 500,Station
2507,R 500,SUV
2508,R280,MPV
2509,R280 L,MPV
2510,R300l,MPV
2511,R350,MPV
2512,R350l,MPV
2513,R350l,SUV
2514,R500,MPV
2515,S,Refrigerator Pick-Up
2516,S 280,Saloon
2517,S 280,Sedan
2518,S 300,Saloon
2519,S 300,Sedan
2520,S 320,Saloon
2521,S 320,Sedan
2522,S 320,Unknown
2523,S 320 L,Coupe
2524,S 320 L,Saloon
2525,S 320 L,Sedan
2526,S 350,Coupe
2527,S 350,Saloon
2528,S 350,Sedan
2529,S 350,Unknown
2530,S 350 L,Saloon
2531,S 350 L,Sedan
2532,S 400,Saloon
2533,S 400,Sedan
2534,S 500,Unknown
2535,S 500 Coupe,Coupe
2536,S 500 Coupe,Station Wagon
2537,S 500 L,Saloon
2538,S 500 L,Sedan
2539,S 55,Sedan
2540,S 550,Saloon
2541,S 550,Sedan
2542,S 600,Coupe
2543,S 600,Saloon
2544,S 600,Sedan
2545,S 600,Unknown
2546,S 600 L,Saloon
2547,S 600 L,Sedan
2548,S 63,Saloon
2549,S 63,Sedan
2550,S 63 Amg Coupe,Coupe
2551,S 65,Sedan
2552,S 65 Amg,Sedan
2553,S 65 Amg Coupe,Coupe
2554,S230,Saloon
2555,S230,Sedan
2556,S400 Hybrid,Sedan
2557,S400 L,Sedan
2558,S500,Coupe
2559,S500,Saloon
2560,S500,Sedan
2561,S500,Unknown
2562,S500 Maybach,Sedan
2563,S55 Amg,Sedan
2564,S560 Coupe,Coupe
2565,S63 Amg,Convertible
2566,S63 Amg,Coupe
2567,S63 Amg,Sedan
2568,S65 Amg,Coupe
2569,S650 Maybach,Sedan
2570,Se 450,Saloon
2571,Se300,Saloon
2572,Se300,Sedan
2573,Sec 560,Sedan
2574,Sel 280,Saloon
2575,Sel 300,Saloon
2576,Sel 300,Sedan
2577,Sel 560,Saloon
2578,Sel 560,Sedan
2579,Sel 560,Unknown
2580,Sel 600,Saloon
2581,Sel 600,Sedan
2582,Sewerage Tanker,Tanker
2583,Sl 280,Coupe
2584,Sl 280,Saloon
2585,Sl 300,Coupe
2586,Sl 300,Saloon
2587,Sl 350,Coupe
2588,Sl 380,Coupe
2589,Sl 400,Coupe
2590,Sl 500,Coupe
2591,Sl 500,Saloon
2592,Sl 500,Sedan
2593,Sl 55,Coupe
2594,Sl 55,Unknown
2595,Sl 550,Coupe
2596,Sl 600,Coupe
2597,Sl 600,Saloon
2598,Sl 600,Sedan
2599,Sl 63,Coupe
2600,Sl 65,Coupe
2601,Sl300,Coupe\/Cabriolet
2602,Sl350,Cabriolet
2603,Sl350,Saloon
2604,Sl400,Coupe/Cabriolet
2605,Sl400,Sedan
2606,Sl450,Convertible
2607,Sl500,Cabriolet
2608,Sl55 Amg,Coupe/Cabriolet
2609,Sl600,Coupe/Cabriolet
2610,Sl63 Amg,Convertible
2611,Sl63 Amg,Coupe
2612,Sl65 Amg,Coupe/Cabriolet
2613,Slc 450,Coupe
2614,Slc 450,Saloon
2615,Slc 560,Saloon
2616,Slc200,Coupe
2617,Slc200,Coupe/Cabriolet
2618,Slc300,Coupe/Cabriolet
2619,Slc43 Amg,Coupe/Cabriolet
2620,Slk 200,Coupe
2621,Slk 200,Coupe/Cabriolet
2622,Slk 200,Sedan
2623,Slk 230,Coupe
2624,Slk 280,Coupe
2625,Slk 350,Coupe
2626,Slk 55,Coupe
2627,Slk200 K,Coupe
2628,Slk200 K,Coupe/Cabriolet
2629,Slk230 K,Coupe
2630,Slk230 K,Coupe/Cabriolet
2631,Slk250,Coupe
2632,Slk250,Coupe/Cabriolet
2633,Slk280,Coupe/Cabriolet
2634,Slk320,Coupe/Cabriolet
2635,Slk350,Coupe/Cabriolet
2636,Slk55 Amg,Coupe/Cabriolet
2637,Slr,Coupe
2638,Slr Mclaren,Coupe
2639,Sls Amg,Convertible
2640,Sls Amg,Coupe
2641,Sls Amg Coupe,Coupe
2642,Sls Amg Coupe,Saloon
2643,Sprinter Van,Ambulance
2644,Sprinter Van,MPV
2645,Sprinter Van,Van
2646,Tanker,Water Tanker
2647,Te 320,"Saloon, S/W"
2648,Te 320,Sedan
2649,Tipper,Dump Truck
2650,Tipper,Truck
2651,Tipper / Trailer,Tipper/Trailer
2652,Tipper / Trailer,Truck
2653,Tractor Head,Tractor
2654,Tractor Head,Trailer Head
2655,Trailer,Lopid Trailer
2656,Trailer,Low Bed Trailer
2657,Trailer Head,Trailer
2658,Trailer Head,Trailer Flat
2659,Trailer Head,Truck
2660,Truck,Diesel Tanker
2661,Truck,Garbage Compactor
2662,Truck Crane 1619,Crane
2663,Truck Crane 1619,Truck With Crane
2664,Truck Crane 2644,Truck With Crane
2665,Truck Head 1735,Truck Head
2666,Truck Head 2538,Truck With Crane
2667,Truck Head 3848,Truck Head
2668,Truck Mixer,Mixer
2669,Truck With Crane,Crane
2670,V 220,Saloon
2671,V 220,SUV
2672,V 250,Van
2673,V Calss,Van
2674,V250,Mini Bus Lwb
2675,V250,MPV
2676,V520,MPV
2677,Viano,Mini Bus
2678,Viano,MPV
2679,Viano 3.0,MPV
2680,Viano 3.0,Van
2681,Viano 3.2,Station Wagon
2682,Viano 3.5  Trend Limousine,MPV
2683,Viano 3.5  Trend Limousine,Station
2684,Viano 3.5  Trend Limousine,SUV
2685,Viano 3.5 Ambiente,Station Wagon
2686,Viano 3.5 Ambiente,SUV
2687,Vito,SUV
2688,Vito,Van
2689,Vito 112,Van
2690,Vito 114,MPV
2691,Vito 114,Pick-Up
2692,Vito 114,Station Wagon
2693,Vito Tourer,MPV
2694,Water Tanker,Sewage Tanker
2695,Grand Marquis,Sedan
2696,Mariner,SUV
2697,Milan,Saloon
2698,Milan,Sedan
2699,Montigo,Saloon
2700,Montigo,Sedan
2701,Telescopic Loader,Loader
2702,Ferguson,Truck
2703,5,Hatchback
2704,350,Saloon
2705,350,Sedan
2706,360,Sedan
2707,550,Saloon
2708,550,Sedan
2709,Gs,SUV
2710,Zs,SUV
2711,Cabrio S,Coupe
2712,Cooper,Convertible
2713,Cooper,Coupe
2714,Cooper,Hatchback
2715,Cooper,Saloon
2716,Cooper,Unknown
2717,Cooper Clubman,Estate
2718,Cooper Countryman,Hatchback
2719,Cooper Countryman,Sedan
2720,Cooper Roadster,Convertible
2721,Cooper Rover,Coupe
2722,Cooper S,Convertible
2723,Cooper S,Coupe
2724,Cooper S,Hatchback
2725,Cooper S,Saloon
2726,Cooper S Clubman,Estate
2727,Cooper S Clubman,Hatchback
2728,Cooper S Countryman,Hatchback
2729,Cooper S Roadster,Convertible
2730,John Cooper Works,Coupe
2731,John Cooper Works,Hatchback
2732,Asx,SUV
2733,Attrage,Coupe
2734,Attrage,Saloon
2735,Attrage,Sedan
2736,Canter,Bus
2737,Canter,Cargo Truck
2738,Canter,Diesel Tanker
2739,Canter,Dump Truck
2740,Canter,Dumper
2741,Canter,Freezer Pick-Up
2742,Canter,Freezer Van
2743,Canter,Gas Pick-Up
2744,Canter,Heavy Van
2745,Canter,Mini Bus
2746,Canter,Oil Tanker
2747,Canter,Others
2748,Canter,Pick-Up
2749,Canter,Pick-Up Double Cabin
2750,Canter,Pick-Up Single Cabin
2751,Canter,Pick-Up With Box
2752,Canter,Pick-Up With Cargo
2753,Canter,Pick-Up With Cargo Body
2754,Canter,Pick-Up With Crane
2755,Canter,Recovery Truck
2756,Canter,Recovery Van
2757,Canter,Refrigerator Truck
2758,Canter,Refrigerator Van
2759,Canter,Sewage Tanker
2760,Canter,Tanker
2761,Canter,Tipper
2762,Canter,Tipper Pick-Up
2763,Canter,Tipper Truck
2764,Canter,Tractor
2765,Canter,Trailer
2766,Canter,Truck
2767,Canter,Truck Mixer
2768,Canter,Truck With Box
2769,Canter,Truck With Crane
2770,Canter,Unknown
2771,Canter,Van
2772,Canter,Water Tanker
2773,Canter Fuso,Bus
2774,Canter Fuso,Freezer Pick-Up
2775,Canter Fuso,Pick-Up
2776,Canter Fuso,Pick-Up With Freezer Box
2777,Canter Fuso,Refrigerator Truck
2778,Canter Fuso,Truck
2779,Canter Fuso,Van
2780,Colt,Saloon
2781,Colt,Sedan
2782,Dlx Bus,Bus
2783,Dlx Bus,Mini Bus
2784,Eclipse,Coupe
2785,Eclipse,Sedan
2786,Eclipse Cross,SUV
2787,Fortis,Sedan
2788,Fuso,Crane
2789,Fuso,Freezer Van
2790,Fuso,Pick-Up
2791,Fuso,Recovery Truck
2792,Fuso,Refrigerator Truck
2793,Fuso,Tanker
2794,Fuso,Truck
2795,Fuso,Truck With Box
2796,Fuso,Truck With Crane
2797,Fuso,Van
2798,Fuso Recovery (Pick-Up),Recovery
2799,Fuso Rosa,Bus
2800,Fuso Rosa,Mini Bus
2801,Galant,Saloon
2802,Galant,Sedan
2803,Galant 2.4,Saloon
2804,Galant 2.4,Sedan
2805,Galant 3.8,Saloon
2806,Galant 3.8,Sedan
2807,Grandis,MPV
2808,Grandis,Unknown
2809,L 200,Unknown
2810,L200,Pick-Up Double Cab
2811,L200,Pick-Up Double Cabin
2812,L200,Pick-Up Single Cabin
